id;first_name;last_name;email;phone_number
1;Fletcher;Wintheiser;Lennie14@gmail.com;back-end
2;Araceli;Armstrong;Henri.Rutherford@hotmail.com;Books
3;Raven;Dooley;Merle_Rempel60@hotmail.com;Identity
4;Mac;Buckridge;Sally.Stanton@hotmail.com;Ergonomic
5;Gabriel;Hagenes;Eriberto_OReilly63@hotmail.com;COM
6;Jannie;Homenick;Walton_Ratke72@gmail.com;Robust Networked
7;Aliza;Lebsack;Hester43@hotmail.com;red
8;Sonny;Nicolas;Emelie_MacGyver@yahoo.com;Concrete Investment Account Saint Lucia
9;Columbus;Farrell;Arely69@hotmail.com;JSON
10;Lindsey;Schowalter;Loren.Breitenberg80@gmail.com;maroon
