id;first_name;last_name;email;phone_number;year_of_birth
1;Garnett;Schinner;Christelle_Renner59@hotmail.com;Dam;9997
2;Anderson;Koch;Estella70@hotmail.com;Movies Producer;83244
3;Trevion;Effertz;Cheyenne61@gmail.com;Home Loan Account;706
4;Holden;Bahringer;Judge.Moore@gmail.com;zero administration;36636
5;Darlene;Klocko;Ozella38@gmail.com;Planner Canyon;85994
6;Lenny;Parisian;Issac94@gmail.com;Planner cross-platform access;9767
7;Dariana;Paucek;Idella60@gmail.com;backing up Salad;39106
8;Destiney;Deckow;Nicolas_Hagenes@yahoo.com;Mayotte;18485
9;Alexandrea;Wisozk;Opal.Kirlin89@hotmail.com;Credit Card Account National Awesome;19598
10;Jovan;Bayer;Eric_Sporer@hotmail.com;South Georgia and the South Sandwich Islands;58675
